Model	Signature.28	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Unknown
NCH-RBD-2	0	0.751841289	0	0	0.104682248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09175406	0	0	0	0	0	0	0.051722403
NCH-RBD-4	0	0.903290354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073488613	0	0	0	0	0	0	0	0	0	0	0	0.023221032
NCH-WT-4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCH-WT-5	0	0.803792105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126674086	0	0.069533808
NCH-WT-6-S13-1506	0	0.644312396	0	0.114632827	0	0	0	0	0	0	0	0	0	0	0	0.143908157	0	0	0	0	0	0	0	0	0	0	0	0	0.09714662
NCH-WT-7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCH-WT-8-S13-3700	0	0.741858949	0	0	0	0	0.211586221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04655483
NCI-ASPS	0	0.658608576	0	0	0	0.165167853	0	0	0	0	0	0.088951841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087271729
OS-1	0	0.825941788	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075848422	0	0	0	0	0	0.089820751	0	0	0	0	0	0	0.008389039
OS-17	0	0.593644815	0	0	0	0	0	0	0	0	0.133982996	0	0	0	0	0.114592347	0	0	0	0	0	0	0	0	0	0	0.115037194	0	0.042742647
OS-2	0	0.388885362	0	0	0	0	0.101604997	0.064030449	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074591824	0	0	0.064213976	0.122109513	0.111927246	0	0.072636633
OS-25	0	0.50340822	0	0.147582098	0	0	0	0.076972437	0	0	0	0	0	0	0	0.200010872	0	0	0	0	0	0	0	0	0	0	0	0	0.072026373
OS-29	0	0.926017123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073982877
OS-31	0	0.708092337	0	0	0	0	0	0	0	0	0.175912019	0	0	0	0	0	0	0	0	0	0	0.076556215	0	0	0	0	0	0	0.039439429
OS-32	0	0.539976914	0	0	0.116633465	0	0.343389621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OS-33	0	0.819295428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113187157	0	0	0	0	0	0	0.067517415
OS-34	0	0.645511931	0	0.077833034	0	0	0.060752201	0.099977404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11592543
OS-34-SJ	0	0.52368594	0	0.11484261	0	0	0.135175639	0.117105052	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072421834	0	0	0	0	0	0	0.036768926
OS-36	0	0.794074177	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201263027	0	0	0	0	0	0	0	0	0	0	0	0	0.004662796
OS-36-SJ	0	0.227863525	0	0	0	0	0.194829684	0	0	0	0	0	0	0	0	0.360854236	0.156087886	0	0	0	0	0	0	0	0	0	0	0	0.060364669
OS-41	0	0.769345647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1598954	0	0	0	0	0	0	0	0	0	0	0	0.070758954
OS-42	0	0.384987003	0	0.284970013	0.066529002	0	0.064200022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070048859	0	0	0.129265102
OS-43-TPMX	0	0.56541673	0.099669456	0	0	0	0	0.083460214	0	0	0	0	0	0.242811333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008642268
OS-44-KPDX-x	0	0.824111444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175888556
OS-44	0	0.651051294	0	0.110713571	0	0	0	0	0	0	0	0	0	0	0	0.211567755	0	0	0	0	0	0	0	0	0	0	0	0	0.026667379
OS-45-TSX-pr1	0	0.354850615	0	0.44284798	0	0	0	0	0	0	0	0	0	0.063950284	0	0	0	0	0	0	0	0.064775961	0	0	0	0	0	0	0.07357516
OS-46-AOX	0	0.747655175	0	0.136857656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115487169
OS-46	0	0.792440146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132525763	0	0	0	0	0	0	0	0	0	0	0	0.075034091
OS-47-SJ	0	0.700042202	0	0	0	0	0.187510992	0	0	0	0	0	0	0	0	0	0.065838143	0	0	0	0	0	0	0	0	0	0	0	0.046608663
OS-48	0	0.711769465	0	0.155305234	0	0	0.109630724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023294577
OS-49-SJ	0	0.74456034	0	0.160169923	0	0	0	0.078508882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016760854
OS-49-STTX-sc	0	0.905553846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076761963	0	0	0.017684191
OS-50-SJ	0	0.886836238	0	0.101795224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011368539
OS-52-SJ	0	0.7342718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202613503	0	0	0	0	0	0	0	0	0	0	0	0.063114697
OS-54-OHS-x	0	0.294699991	0	0.130137088	0	0.086035451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226238078	0	0.115769916	0	0.147119477
OS-54-SJ	0	0.818081326	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066687383	0	0	0	0	0	0	0	0	0	0	0.108343288	0	0.006888004
OS-55-SBX	0	0.620501451	0	0	0	0	0.107349868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166596036	0.070681883	0	0	0.034870761
OS-55	0	0.679204579	0	0	0	0	0.07347909	0	0	0	0	0	0	0	0	0	0.158010814	0	0	0	0	0	0	0	0	0	0	0	0.089305517
OS-56	0	0.641720554	0	0.077567389	0	0	0.114997896	0.06240058	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072083821	0	0	0	0	0	0	0.031229759
OS-56-TTX	0	0.36685246	0	0.252473307	0	0	0.279258259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101415975
OS-60	0	0.483040911	0	0.108480812	0	0	0.187784785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129373269	0	0	0	0.091320223
PAKHZT	0	0.754916645	0	0.171162727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073920627
PAKRSL	0	0.795414758	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18396219	0	0	0	0	0	0	0	0	0	0	0	0	0.020623052
PAKSWW	0	0.86751291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122684557	0	0	0.009802532
PAKVKK	0	0.999314984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000685016
PAKYEP	0	0.795199895	0	0.078474432	0	0	0.105485553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02084012
PALJDL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PALKTY	0	0.991335625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008664375
PALLSD	0	0.642021757	0	0	0	0	0.152226169	0	0	0	0	0	0	0	0	0.156213211	0	0	0	0	0	0	0	0	0	0	0	0	0.049538863
PALNTB	0	0.965859888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034140112
PALTWS	0	0.810706616	0	0	0	0	0.063092567	0	0	0	0	0	0	0	0	0.126200817	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMDRM	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rh-10	0	0.958691634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041308366
Rh-12	0	0.568793829	0	0.195523761	0	0	0.150974861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084707548
Rh-30	0	0.896522503	0	0	0	0	0	0	0	0	0.103477497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rh-30R	0	0.467258134	0	0	0	0	0	0	0	0	0.075455477	0	0	0	0	0.209667555	0	0	0	0	0	0	0	0	0	0	0.226258499	0	0.021360336
Rh-36	0	0.345176303	0	0.10703495	0	0.07548619	0.136503955	0	0	0	0	0	0	0	0	0	0.080406294	0	0	0	0	0.07272924	0	0	0.066931818	0	0	0	0.115731251
Rh-41	0	0.64455942	0	0	0	0	0	0	0	0	0.204874192	0	0	0	0	0	0	0	0	0	0	0.127789662	0	0	0	0	0	0	0.022776726
Rh-65	0	0.821033014	0	0	0	0	0	0.078767056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078536301	0	0.021663629
Rh-70	0	0.758874578	0	0.195902287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045223135
SK-NEP-1	0	0.901304306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070291719	0	0	0	0	0	0	0	0	0	0.028403975
TC-71	0	0.691924834	0	0.146980357	0	0	0	0	0	0	0.12290644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03818837
